9916;104669400;101994
2165;12409900;19454
2664;8335000;23815
6871;17984600;65317
8793;13012700;85761
6873;7967800;65756
9797;17990900;98890
3998;4863000;36924
9641;15984700;97965
8740;12342600;85925
2308;2347600;20636
7486;7631100;72512
2915;2145600;24896
2223;1785300;20196
2733;2049300;24218
7705;7593700;74852
6057;3755300;54955
4354;2116300;41058
1195;349500;9992
7590;7712000;75359
6651;8696100;63116
5766;3553500;52913
572;210400;3986
729;352100;6205
6920;5590400;67141
7780;7071200;79788
1015;410700;8332
3780;3384600;34014
7668;9396000;74352
8817;12937200;84271
3708;2984400;33335
3309;2514500;29727
7674;7531100;75723
4602;2260100;43826
4371;3867100;39221
7405;7618200;68415
9374;7899900;90843
3463;1747900;29794
6053;3646100;55947
3686;1719400;34790
5395;3057900;50388
8092;6567100;83329
6381;4411400;60385
2919;1324300;27516
6150;5063300;62510
427;83500;3047
688;182500;5121
1934;665400;16107
7473;6495200;71531
4927;3229500;46435
4286;2487800;39534
2438;861400;20684
2884;1229900;26639
8435;6709200;80529
133;23300;928
7442;5408500;71588
6935;4707000;66308
406;83400;2868
8451;6701000;81531
8017;5830400;76497
250;67000;1713
3993;2477900;40775
2490;960800;21107
3108;1674900;28717
5813;3276000;56432
6850;4393800;66411
4711;2531600;43833
9188;8098500;87325
3690;3452700;34639
5772;3880700;53341
7460;6893000;69816
2185;1086100;19147
182;49200;1182
2639;1403800;23763
6947;5461300;69021
4760;3593900;43996
1349;665200;11281
8036;10211300;89980
8015;6947700;84945
7316;7066700;73515
422;111200;2843
8314;11068800;84018
2135;912300;17880
3678;1918500;35502
8041;10992100;79242
8203;12145900;74715
1273;826000;10395
1045;794700;8185
7866;9763600;79569
9940;11614600;100895
2829;1129600;24789
3092;1254200;26658
447;133700;3164
4140;2485400;37210
4450;2220300;41300
8830;6488300;83223
5942;3448800;57452
6792;5047600;64123
7632;5183200;73360
6309;6558800;57811
9916;97253200;101994
2165;11103500;19454
2664;9913600;23815
6871;14335000;65317
8793;15825200;85761
6873;6716600;65756
9797;13870500;98890
3998;4155000;36924
9641;11233200;97965
8740;9357300;85925
2308;1966700;20636
7486;9249100;72512
2915;2044900;24896
2223;2181500;20196
2733;1844100;24218
7705;5455500;74852
6057;5816900;54955
4354;3627100;41058
1195;594600;9992
7590;10691500;75359
6651;4859700;63116
5766;6789200;52913
572;133200;3986
729;308200;6205
6920;7158700;67141
7780;6982300;79788
1015;274000;8332
3780;2644600;34014
7668;5861600;74352
8817;8859200;84271
3708;1867900;33335
3309;1708500;29727
7674;6010600;75723
4602;2607200;43826
4371;2553900;39221
7405;10105100;68415
9374;12086200;90843
3463;2617200;29794
6053;5552500;55947
3686;1756300;34790
5395;3488100;50388
8092;7016900;83329
6381;4092600;60385
2919;1214400;27516
6150;4004500;62510
427;89500;3047
688;205900;5121
1934;714300;16107
7473;5094700;71531
4927;2525600;46435
4286;2023200;39534
2438;843800;20684
2884;1345700;26639
8435;6630200;80529
133;23000;928
7442;6554400;71588
6935;4546300;66308
406;128000;2868
8451;6964300;81531
8017;6294600;76497
250;63000;1713
3993;2298500;40775
2490;1475900;21107
3108;1802400;28717
5813;3325200;56432
6850;5106300;66411
4711;2387400;43833
9188;7544700;87325
3690;1980200;34639
5772;4194000;53341
7460;6463000;69816
2185;792700;19147
182;37400;1182
2639;1012100;23763
6947;4375400;69021
4760;2637000;43996
1349;731700;11281
8036;7439600;89980
8015;8975200;84945
7316;5122100;73515
422;95600;2843
8314;8137300;84018
2135;880300;17880
3678;2412600;35502
8041;7584800;79242
8203;6142800;74715
1273;560100;10395
1045;282000;8185
7866;5577000;79569
9940;9809600;100895
2829;1505500;24789
3092;1902300;26658
447;143000;3164
4140;3782500;37210
4450;2955200;41300
8830;12298000;83223
5942;3896200;57452
6792;4436900;64123
7632;5858500;73360
6309;4550000;57811
